unmapped_SMILES,mapped_SMILES
[H]-C(-[H])(-[H])-C(-O-C(=O)-O-C(=O)-O)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H].[H]-n(:c):c>>c:n(:c)-C(=O)-O,[#1:1030]-[C:30](-[#1:2030])(-[#1:3030])-[C:31](-[O:32]-[C:33](=[O:34])-[O:35]-[C:1](-[O:2])=[O:3])(-[C:36](-[#1:1036])(-[#1:2036])-[#1:3036])-[C:37](-[#1:1037])(-[#1:2037])-[#1:3037].[#1:1014]-[n:14](:[c:10]):[c:16]>>[O:2]-[C:1](=[O:3])-[n:14](:[c:10]):[c:16]
[H]-C#C.[H]-C#C>>C#C-C#C,[C:12]#[C:15]-[#1:1015].[C:28]#[C:31]-[#1:1031]>>[C:12]#[C:15]-[C:31]#[C:28]
[H]-O-C(-[H])(-C)-C>>C-C(-C)=O,[C:3]-[C:9](-[#1:1009])(-[O:13]-[#1:1013])-[C:14]>>[C:3]-[C:9](=[O:13])-[C:14]
[H]-O-c.c-C-Cl>>c-C-O-c,[c:11]-[C:16]-[Cl:32].[c:30]-[O:31]-[#1:1031]>>[c:11]-[C:16]-[O:31]-[c:30]
[H]-O-C-c>>c-C-Cl,[#1:1016]-[O:16]-[C:8]-[c:3]>>[c:3]-[C:8]-[Cl:17]
c-C#N>>[H]-N(-[H])-C(-c)=O,[c:5]-[C:10]#[N:12]>>[c:5]-[C:10](=[O:19])-[N:12](-[#1:1012])-[#1:2012]
[H]-C#C>>C#C-Br,[C:4]#[C:7]-[#1:1007]>>[C:4]#[C:7]-[Br:8]
[H]-N-c.[H]-O-C(-c)=O>>c-N-C(-c)=O,[#1:1036]-[O:36]-[C:4](-[c:1])=[O:8].[c:17]-[N:21]-[#1:2021]>>[c:1]-[C:4](=[O:8])-[N:21]-[c:17]
[H]-c(:c):c.[H]-c(:c):c>>c:c(:c)-Br.c:c(:c)-Br,[c:13]:[c:15](-[#1:1015]):[c:16].[c:4]:[c:9](:[c:12])-[#1:1009]>>[c:13]:[c:15](-[Br:17]):[c:16].[c:4]:[c:9](:[c:12])-[Br:18]
[H]-C(-[H])(-[H])-[Si](-C#C)(-C(-[H])(-[H])-[H])-C(-[H])(-[H])-[H]>>[H]-C#C,[#1:1014]-[C:14](-[#1:2014])(-[#1:3014])-[#14:15](-[C:16](-[#1:1016])(-[#1:2016])-[#1:3016])(-[C:17](-[#1:1017])(-[#1:2017])-[#1:3017])-[C:13]#[C:11]>>[C:11]#[C:13]-[#1:1013]
